date,18:00,19:00,20:00
1/1/2018,38.90000,38.90000,38.90000
1/2/2018,42.30000,41.90000,41.90000
1/3/2018,40.80000,40.50000,40.70000
1/4/2018,42.30000,41.90000,41.90000
1/5/2018,44.00000,44.10000,44.00000
1/6/2018,45.60000,44.50000,44.30000
1/7/2018,40.90000,41.20000,35.70000
1/8/2018,44.60000,44.30000,43.60000
1/9/2018,41.90000,42.90000,42.50000
1/10/2018,44.90000,44.40000,43.90000
1/11/2018,43.10000,42.60000,42.40000
1/12/2018,45.10000,45.00000,44.90000
1/13/2018,41.80000,40.20000,39.90000
1/14/2018,38.60000,36.40000,34.00000
1/15/2018,40.40000,40.80000,40.30000
1/16/2018,39.70000,39.60000,39.30000
1/17/2018,41.50000,40.50000,40.70000
1/18/2018,42.90000,42.70000,43.30000
1/19/2018,41.30000,40.20000,39.70000
1/20/2018,40.50000,40.60000,40.40000
1/21/2018,37.50000,37.90000,32.40000
1/22/2018,44.40000,44.10000,44.30000
1/23/2018,41.20000,40.60000,42.70000
1/24/2018,41.50000,40.70000,40.60000
1/25/2018,42.00000,41.60000,41.90000
1/26/2018,44.70000,43.90000,44.50000
1/27/2018,40.50000,40.40000,40.20000
1/28/2018,40.20000,40.30000,36.80000
1/29/2018,44.20000,43.70000,43.80000
1/30/2018,45.50000,45.30000,45.50000
1/31/2018,43.60000,43.60000,43.30000
2/1/2018,45.00000,44.00000,44.30000
2/2/2018,42.30000,42.00000,42.10000
2/3/2018,41.90000,42.00000,41.60000
2/4/2018,37.80000,37.90000,32.20000
2/5/2018,42.70000,41.70000,42.20000
2/6/2018,45.10000,41.50000,40.60000
2/7/2018,47.60000,46.70000,38.40000
2/8/2018,44.20000,42.30000,43.10000
2/9/2018,43.20000,42.80000,42.90000
2/10/2018,41.90000,42.20000,40.90000
2/11/2018,36.00000,35.60000,32.00000
2/12/2018,48.00000,47.80000,47.70000
2/13/2018,41.60000,41.20000,41.70000
2/14/2018,48.60000,47.20000,46.80000
2/15/2018,45.20000,44.90000,44.20000
2/16/2018,48.30000,47.50000,47.20000
2/17/2018,40.20000,40.50000,39.20000
2/18/2018,39.90000,40.40000,36.00000
2/19/2018,45.20000,44.60000,39.20000
2/20/2018,39.50000,39.70000,38.10000
2/21/2018,39.60000,39.00000,38.10000
2/22/2018,44.80000,44.90000,44.60000
2/23/2018,41.30000,41.40000,41.60000
2/24/2018,41.50000,39.10000,39.40000
2/25/2018,34.10000,33.50000,30.60000
2/26/2018,41.20000,41.10000,40.30000
2/27/2018,40.70000,39.70000,37.70000
2/28/2018,43.50000,42.70000,43.30000
3/1/2018,42.40000,42.30000,42.30000
3/2/2018,39.90000,40.30000,40.20000
3/3/2018,31.20000,31.30000,30.10000
3/4/2018,30.20000,29.60000,25.50000
3/5/2018,38.40000,39.30000,38.50000
3/6/2018,41.30000,41.90000,38.10000
3/7/2018,38.70000,39.10000,38.10000
3/8/2018,41.30000,40.50000,40.10000
3/9/2018,38.90000,38.70000,38.50000
3/10/2018,37.10000,37.10000,36.90000
3/11/2018,34.30000,34.40000,33.00000
3/12/2018,38.50000,38.70000,38.20000
3/13/2018,38.00000,37.30000,37.30000
3/14/2018,43.40000,42.80000,42.10000
3/15/2018,44.40000,44.20000,43.60000
3/16/2018,52.10000,51.40000,51.80000
3/17/2018,40.60000,39.50000,41.40000
3/18/2018,41.80000,40.80000,36.40000
3/19/2018,45.00000,43.60000,41.60000
3/20/2018,46.40000,45.30000,44.70000
3/21/2018,46.10000,45.70000,38.30000
3/22/2018,44.00000,43.60000,43.00000
3/23/2018,41.90000,40.90000,40.80000
3/24/2018,42.00000,41.80000,41.70000
3/25/2018,39.20000,39.00000,37.50000
3/26/2018,44.10000,43.70000,43.40000
3/27/2018,46.40000,45.50000,45.20000
3/28/2018,43.70000,43.70000,43.70000
3/29/2018,45.80000,44.70000,44.30000
3/30/2018,44.80000,45.10000,44.90000
3/31/2018,44.10000,44.10000,43.90000
4/1/2018,43.70000,38.30000,38.30000
4/2/2018,42.20000,42.70000,42.30000
4/3/2018,45.20000,44.40000,44.20000
4/4/2018,44.90000,45.20000,44.20000
4/5/2018,49.50000,48.80000,47.30000
4/6/2018,38.40000,46.80000,45.60000
4/7/2018,37.20000,36.40000,35.90000
4/8/2018,32.30000,28.80000,28.80000
4/9/2018,44.90000,44.20000,43.10000
4/10/2018,49.10000,41.00000,39.50000
4/11/2018,41.50000,41.40000,41.40000
4/12/2018,39.70000,40.30000,40.40000
4/13/2018,41.60000,41.60000,41.60000
4/14/2018,32.50000,36.60000,40.60000
4/15/2018,40.00000,37.30000,37.40000
4/16/2018,30.90000,30.40000,29.70000
4/17/2018,30.50000,30.30000,29.80000
4/18/2018,34.20000,33.30000,32.40000
4/19/2018,41.70000,40.50000,37.30000
4/20/2018,44.60000,42.50000,39.60000
4/21/2018,33.10000,32.20000,31.90000
4/22/2018,23.80000,22.40000,22.40000
4/23/2018,34.00000,33.50000,32.70000
4/24/2018,37.00000,36.50000,35.70000
4/25/2018,43.00000,42.10000,41.60000
4/26/2018,34.00000,32.90000,31.90000
4/27/2018,44.10000,44.00000,43.30000
4/28/2018,40.70000,40.20000,40.10000
4/29/2018,38.20000,35.30000,34.90000
4/30/2018,27.00000,27.10000,26.70000
5/1/2018,44.00000,42.10000,41.40000
5/2/2018,39.90000,34.60000,33.20000
5/3/2018,33.50000,32.40000,31.40000
5/4/2018,38.70000,37.70000,32.30000
5/5/2018,32.10000,31.20000,30.50000
5/6/2018,31.00000,29.20000,28.80000
5/7/2018,34.40000,33.10000,32.40000
5/8/2018,43.90000,41.00000,32.40000
5/9/2018,31.00000,30.40000,30.30000
5/10/2018,34.80000,33.50000,31.90000
5/11/2018,30.20000,29.70000,29.30000
5/12/2018,26.20000,26.40000,26.20000
5/13/2018,28.70000,25.30000,24.50000
5/14/2018,30.90000,30.80000,29.80000
5/15/2018,32.90000,31.70000,30.70000
5/16/2018,29.30000,28.40000,27.60000
5/17/2018,28.10000,27.20000,25.70000
5/18/2018,29.20000,28.80000,27.60000
5/19/2018,29.70000,28.90000,28.60000
5/20/2018,28.40000,25.70000,25.20000
5/21/2018,44.80000,45.00000,43.90000
5/22/2018,44.30000,42.00000,39.40000
5/23/2018,35.50000,34.40000,33.60000
5/24/2018,36.70000,36.70000,35.90000
5/25/2018,34.00000,34.30000,32.80000
5/26/2018,36.90000,35.50000,34.60000
5/27/2018,36.70000,30.80000,30.90000
5/28/2018,35.40000,34.60000,33.30000
5/29/2018,32.20000,31.90000,31.10000
5/30/2018,33.60000,33.40000,32.60000
5/31/2018,40.90000,36.60000,34.40000
6/1/2018,36.60000,37.20000,34.50000
6/2/2018,33.10000,32.10000,31.90000
6/3/2018,31.40000,29.40000,29.30000
6/4/2018,31.60000,31.40000,31.20000
6/5/2018,32.90000,32.50000,32.00000
6/6/2018,34.10000,33.40000,32.70000
6/7/2018,32.30000,32.20000,31.60000
6/8/2018,42.10000,33.80000,33.30000
6/9/2018,31.30000,31.70000,31.60000
6/10/2018,33.30000,29.00000,28.20000
6/11/2018,40.20000,38.30000,36.40000
6/12/2018,31.30000,33.20000,31.30000
6/13/2018,32.70000,32.00000,30.50000
6/14/2018,38.10000,35.90000,35.20000
6/15/2018,33.80000,32.70000,32.10000
6/16/2018,31.00000,31.10000,30.10000
6/17/2018,28.10000,26.10000,25.50000
6/18/2018,38.80000,34.80000,32.90000
6/19/2018,43.80000,41.60000,39.90000
6/20/2018,37.80000,37.60000,34.50000
6/21/2018,37.00000,36.20000,35.00000
6/22/2018,36.20000,35.20000,34.30000
6/23/2018,35.40000,35.10000,34.30000
6/24/2018,36.40000,31.50000,31.20000
6/25/2018,49.60000,47.20000,43.60000
6/26/2018,46.60000,44.70000,42.70000
6/27/2018,43.60000,41.00000,38.80000
6/28/2018,32.90000,32.90000,32.00000
6/29/2018,34.40000,33.20000,31.20000
6/30/2018,33.10000,32.30000,31.70000
